Date,Type,Site,Replicate,Total_Bacteria,Total_Vibrio,V_alginolyticus,V_cholerae,V_parahaemolyticus,V_vulnificus,HF183
2022-07-07,Daily,BO,1,36904646.06816616,5252.293105753539,3.54,285,15,15,1.5
2022-07-07,Daily,BO,2,35637286.86698697,6625.104566044351,3.54,285,15,15,1.5
2022-07-07,Daily,BO,3,38790184.09833601,7219.339388664152,3.54,285,15,54.05398355627959,1.5
2022-07-07,Daily,BO,4,NA,NA,NA,285,NA,NA,NA
2022-07-07,Daily,BO,5,NA,NA,NA,285,NA,NA,NA
2022-07-07,Daily,C2,1,2004557.3841289016,5274.410896263016,3.54,5.7,1.5,1.5,NA
2022-07-07,Daily,C2,2,1774896.210971934,5432.847572888531,3.54,5.7,1.5,1.5,NA
2022-07-07,Daily,C2,3,2083320.2551259743,5535.915112608538,3.54,5.7,1.5,1.5,NA
2022-07-07,Daily,RD,1,810204.990150081,118.3225405814563,3.54,5.7,1.5,1.5,NA
2022-07-07,Daily,RD,2,856649.7454941035,103.64828213457164,3.54,5.7,1.5,1.5,NA
2022-07-07,Daily,RD,3,895053.4348662861,109.40442687965628,3.54,5.7,1.5,1.5,NA
2022-07-08,Daily,BO,1,13295719.65363714,7665.301158357626,3.54,2336.2481509556414,15,44.87812819054423,1.5
2022-07-08,Daily,BO,2,14529540.798064929,8164.8426467127265,3.54,1188.0967293938877,15,15,1.5
2022-07-08,Daily,BO,3,14851440.798573311,9359.615486316696,3.54,285,15,15,1.5
2022-07-08,Daily,BO,4,NA,NA,NA,285,NA,NA,NA
2022-07-08,Daily,BO,5,NA,NA,NA,2475.2444109281787,NA,NA,NA
2022-07-08,Daily,C2,1,782916.8677511652,3547.631819634604,3.54,5.7,1.5,1.5,NA
2022-07-08,Daily,C2,2,1033153.7382793648,3284.965538439641,3.54,5.7,1.5,15.683556173066243,NA
2022-07-08,Daily,C2,3,1122000.6977914097,3885.2101939538775,3.54,5.7,1.5,1.5,NA
2022-07-08,Daily,RD,1,57929.01269153233,636.170957490546,3.54,5.7,1.5,1.5,NA
2022-07-08,Daily,RD,2,72003.98536748569,669.6908948380162,3.54,5.7,1.5,11.01504354786257,NA
2022-07-08,Daily,RD,3,95517.48530793938,696.4610298673505,3.54,5.7,1.5,1.5,NA
2022-07-09,Daily,BO,1,10370590.253478875,6827.896576821366,3.54,285,15,15,1.5
2022-07-09,Daily,BO,2,10431868.961575072,7105.949538945928,3.54,285,15,15,1.5
2022-07-09,Daily,BO,3,12100655.397631872,7885.772721998018,3.54,2781.9680749661925,15,15,1.5
2022-07-09,Daily,BO,4,NA,NA,NA,285,NA,NA,NA
2022-07-09,Daily,BO,5,NA,NA,NA,285,NA,NA,NA
2022-07-09,Daily,C2,1,455931.61634801346,1012.572507600727,9.68475231908302,5.7,1.5,4.176627665427735,NA
